domain,theme,value1,value2,brief introduction,scene,role1,D1,role2,D2,relation,conflict_level,id
公民/社区生活/邻里,小区绿化项目,遵从,自我导向,小区可能有一些规定和习俗需要遵守，例如，在特定的时间进行绿化活动,小区物业提出了一个新的绿化项目，计划在小区内植入更多的花草树木，以提升美观度和居民生活质量。决策的目的是为了改善和优化小区环境，但小区座谈会上出现了分歧。一部分人希望严格按照物业的设计进行绿化，而另一部分人希望能够允许居民根据自己的喜好在绿化中加入自己的想法。,张阿姨，小区里的老居民，对小区的规定和习俗非常尊重和坚守,希望按照物业的设计方案进行，遵守小区的规定，并认为绿化项目应该统一协调，而不是让每个居民都按照自己的喜好来进行。,小李，年轻的居民，对生活充满了热情，喜欢创新和探索，他希望在绿化中能够有更多的创意和自我表达,希望能够允许居民们按照自己的想法来设计和种植花草树木，认为这样不仅能够让绿化更有特色，也能让居民更加享受参与绿化的过程。,邻居,3,11
公民/社区生活/邻里,小区绿化项目,享乐主义,传统,有的住户可能更喜欢享受轻松愉快的生活，而参与绿化项目可能需要付出一定的努力和时间，这可能与其享乐主义的价值观产生冲突,小区的一块公共土地空荡荡的，物业决定进行绿化，种上各种植物。草坪、花丛和树木的繁荣将提高小区的美感和环境质量，但也需要居民们花费一定的时间和努力来参与维护。因此，绿化项目在小区内产生了分歧。,Alex，一位新近退休的居民，他是个生活享乐主义者，喜欢轻松愉快的生活，热衷于社交和旅游,认为小区绿化项目可能会影响他的休闲时间，更倾向于社交活动和外出旅游，因此反对这个绿化项目。,Emily，一个对社区充满热情的居民，她一直努力遵循小区的传统规范，乐于贡献自己的时间和精力去提升小区环境和气氛,认为绿化项目是小区传统的一部分，会增加小区的美感，促进邻里之间的互动。尽管需要投入时间和精力，但这是值得的，支持这个项目。,邻居,3,12
公民/社区生活/邻里,社区活动规划,成就,慈善,在社区活动规划中，某些个体可能想通过提供优质的服务来获取成就感和认可（成就）,社区最近计划举办一场欢庆社区建成20周年的盛大活动，目的是为了加强社区邻里之间的联系，提高社区的凝聚力。然而，决策活动的形式和主题是一个需要商榷的问题，社区委员会的成员对此有不同的看法和想法。,叫做李华，李华是社区委员会的主任。李华一直很看重社区的活动，他认为一个好的活动可以提高社区的知名度，也可以显示出他的组织能力和领导力,做一个大规模的庆典，邀请市长和一些媒体参加，希望这次活动可以提升社区的影响力，也可以显示出个人的组织能力。,叫做张梅，张梅是一个乐于助人的人，她在社区里是一个十分活跃的人，她总是尽可能的帮助邻居解决一些生活中的问题,觉得这次活动应该更重视社区的居民，建议组织一些互动的游戏和表演，可以让居民更加积极参与，通过这些互动活动，让大家更好地了解和帮助彼此。,李华和张梅都是社区委员会的成员，他们经常需要一起参与社区的决策。虽然他们的价值观有所不同，但他们都希望通过自己的方式为社区做出贡献。,3,13
公民/社区生活/邻里,社区活动规划,遵从,自我导向,对于一些社区成员来说，他们可能会严格遵守社区的规章制度和传统（遵从）,社区决定举办一个周末娱乐活动，目的是增强社区的凝聚力和增加社区成员之间的互动。然而，在规划活动内容时产生了分歧，部分社区成员希望活动能延续传统和习惯，举办常规的烧烤和舞蹈晚会，而另一部分社区成员希望尝试新的、具有挑战性的活动，以激发社区成员的热情和兴趣。,约瑟夫，这是一位在社区生活了许多年的老人，他十分注重社区传统的维护和延续，习惯规则和秩序，并对社区的和谐稳定有着非同寻常的执着,坚持认为应该举办传统的烧烤和舞蹈晚会，这是社区历史和文化的继承，也是社区一直以来的活动方式，这样可以保持社区的稳定和和谐，避免新的活动可能带来的困扰和不适。,丽莎，一个生活在社区的年轻人，具有开放的思想和富有创新的精神，她喜欢追求新事物，并乐于接受挑战,认为社区活动应该引入新的元素，越过传统的界限，挑战新的可能，例如举办一场户外探险或者自然科学知识竞赛，这样不仅可以激发社区成员的热情和兴趣，还可以提升社区整体的知识水平和对自然环境的认识。,他们都是社区中的成员，虽然年纪和观念有所不同，但都热爱社区，希望社区活动能让所有人都过得更好。,3,14
公民/社区生活/邻里,社区活动规划,安全,刺激,在制定新的社区活动时，一些成员可能更倾向于坚持那些安全、稳定且习惯的活动（安全），而另一些成员则可能寻求新的、有挑战性的体验（刺激），这两种价值观可能会发生冲突,社区中的年度庆祝活动即将到来，需要决策活动的具体内容。每年的活动对社区的团结和邻里间的友好关系都有重要推动作用，因此，活动的规划备受关注。一部分居民希望继续举办传统的庆祝活动，如社区聚餐、园游会等，认为这些活动安全且能保护社区安宁，符合大多数人的期待。而另一部分居民则认为有必要尝试一些新的、刺激的活动，比如户外探险或者音乐节，为生活增添乐趣和刺激。因此，对于活动的具体形式，社区内部出现了分歧。,Jack，是社区的一员，他是个保守的人，喜欢安宁、稳定的生活，他总是倾向于维护社区中的秩序和安全,投票支持继续举办传统的庆祝活动。认为传统的社区聚餐和园游会可以让人们在熟悉和舒适的环境中相聚，无需考虑安全问题，也能满足大多数人的期待。,Lucy，也是社区的一员，她是个充满活力、喜欢尝试新鲜事物的人，她总是倾向于寻求生活中新的刺激和经历,投票支持引入新的庆祝活动。引入一些新的、有趣的活动可以增添社区生活的趣味性，比如户外探险或者音乐节，虽然可能会带来一些风险，但是这些风险可以通过规划和准备来降低。,虽然Jack和Lucy的观点不同，但他们都是热衷于社区事务的居民，他们尊重彼此的观点，并愿意通过对话和讨论来解决这一分歧。,3,15
公民/社区生活/邻里,青少年教育项目,成就,大同,在青少年教育项目中，可能存在推动学生追求个人成就（如成绩优异，获得奖学金等）与实现大同价值观（例如，强调所有学生的平等，普遍福利等）之间的冲突,地方政府打算推行一项专门针对青少年的教育项目，这个项目旨在提升学习效果，提高升学率，培养一批优秀的人才，但因为项目资金有限，这个教育项目只能选择一部分学生参与。这个决策引发了社区内部的分歧。,Tom，地方教育局局长，身为教育工作者，他有着敏锐的洞察力和丰富的教育经验,认为这个项目应该优先服务于那些学习优秀的学生，他们在未来有可能为社会贡献更大的价值。计划通过严格的选拔，挑选出一部分表现突出的学生参加这个项目。,Mary，社区家长代表，前教师，对于教育问题有深入的理解和自己的见解,认为教育应公平对待每一个人，不应该因为学生的成绩好坏去区别对待。提出应该让所有的学生都有参与这个项目的机会，或者至少应该尽量让更多的学生参与其中。,Tom和Mary在社区教育问题的讨论会议上相识，经常在教育问题上有所交锋，但他们都是以孩子的最佳利益为出发点的。,3,16
公民/社区生活/邻里,青少年教育项目,权力,慈善,设定教育项目时，可能存在权力价值观（如，项目设立者或教育机构想要对项目的执行有更直接的控制和影响力）和慈善价值观（例如，关心并维护特定的学生群体的福利，如贫困群体或学习困难的学生）的冲突,在中学，一项新的教育项目正在筹备中，该项目旨在扩大学生的知识域并提高他们的实践能力。然而，项目的实施方式产生了分歧，校长希望以竞赛的形式来进行，以提升学校的名声；而学生事务部的负责人则主张以公益活动的形式进行，旨在帮助那些学习资源匮乏的群体。,John，中学的校长。他在教育界多年，充满了野心，希望通过改进教育方式提升学校的排名和声誉,主张将此教育项目以知识竞赛的形式进行，通过竞赛的形式以选拔出优秀的学生，提升学校的声誉和排名，并吸引更多的优秀生源。,Mary，学生事务部的负责人。她对教育充满热情，经常在照顾学生的学习和生活，特别关心那些贫困和学习困难的学生,主张将此教育项目以公益活动的形式进行，让学生们能够深入贫困地区，帮助那些学习资源匮乏的孩子一起学习，提升他们的学习兴趣和动力，让知识产生更大的力量。,John是Mary的直接上级，也就是校长和部门负责人的关系。,3,17
公民/社区生活/邻里,青少年教育项目,传统,自我导向,教育项目可能会面临如何平衡尊重传统（例如，遵循传统的教学方法和课程设置）与提倡自我导向（例如，鼓励学生进行独立思考，自由选择学习领域）的价值观的冲突,一所市立中学的领导在讨论是否应该推行新的教育模式——扩大自主学习区域，增加学生自我探索的时间，这一新模式的教育方式和以往基于标准化考试，固定教材的教学方式有着显著的不同。新教育方式的主要目的是培养学生自主学习的能力和扩大学生的知识广度，但这也意味着学生的学习进度可能会不同，难以用统一的标准来衡量学生的学习成果，这引起了一些人的反对。,陈校长，一位有着三十年教育经验的校长，她一直坚持传统的教学方式，认为固定的课程设置和标准化考试能更好地保证学生的学习质量,坚决反对新的教育模式，认为这种方式可能会导致学生的学习进度不一致，学习成果难以衡量，对学生的基础知识学习可能造成影响。,李教授，一位新近加入学校的年轻教师，他有在国外留学的背景，倡导新型教育方式，积极主张学生的自我探索和独立思考,坚决支持新的教育模式，认为这种方式可以培养学生的主动学习能力，扩大学生的知识面，更有利于学生的长远发展。,他们是这个中学的两个领导，经常需要一起参与学校的决策，虽然常有意见不合，但都以学生的教育为重。,3,18
公民/社区生活/邻里,青少年教育项目,安全,刺激,在执行青少年教育项目时，可能会有安全价值观（例如，保持稳定的教学环境，避免学生面临风险）与刺激价值观（例如，鼓励学生接受挑战，跳出舒适区）的冲突,一个中学正在计划举办一次户外探险活动，目的是让学生有机会进行团队合作，同时接触大自然，培养他们的独立生活和解决问题的能力。然而，这个计划在教师之间引起了分歧，一些教师认为这个活动可能对学生的安全构成威胁，而另一些教师则认为这是一个很好的机会让学生体验生活，接触新鲜事物。,"丽莎,她是中学的语文老师，非常关心学生的安全",主张活动应该在校园内进行，尽管这样可能无法为学生提供真正的户外探险体验，但是学生的安全是最重要的，不能将学生暴露在可能的风险中。,汤姆，他是中学的体育老师，注重学生的全面发展，尤其看重刺激和新奇体验对于学生成长的重要性,建议进行户外探险活动，尽管活动中可能存在的安全问题，但只要有合适的安全措施，这些问题都不足为惧。认为这样的活动可以帮助学生锻炼他们的团队合作能力，同时提供一个让他们跳出舒适区、挑战自我的机会。,同事,3,19
公民/社区生活/邻里,青少年教育项目,享乐主义,遵从,在设计青少年教育项目中，可能存在享乐主义（例如，着眼于提供让学生享受的学习体验）与遵从价值观（例如，要求学生严格遵守规则和纪律）的冲突,当前，一个青少年教育项目正在决策阶段。这个项目旨在为青少年提供一个寓教于乐的学习环境，使他们在轻松愉快的环境下学习新知识、新技能。然而，项目的具体实施方式成为了决策的分歧点，一方主张以学习为主，严格遵守教育纪律；另一方则主张创造一个更加轻松和愉快的学习环境，让学生在享受的同时学习。,夏洛特，一名乐观开朗，注重学生感受的教育工作者,认为应该创设一个寓教于乐的环境，让学生在游戏中学习，在享受的过程中吸收新知识。认为这样能更好地激发学生的学习兴趣和积极性。,约瑟夫，一名教育经验丰富，崇尚规矩的老教师,坚持认为学习环境应该严谨，应该严格遵守学习的纪律，而不是过度娱乐化。认为这样才能让学生真正学到知识，培养良好的学习习惯。,同事,3,20
公民/社区生活/邻里,社区健康卫生提升,大同,权力,在社区健康卫生提升决策过程中，可能会存在大同与权力的价值观冲突,由于社区中的垃圾处理问题，社区环境卫生状况严重下滑，不仅影响了居民的生活质量，也威胁到了居民的健康。因此，社区决定投资购买一套先进的垃圾处理设备进行改善，这就是决策的背景。决策的目的是为了提升社区健康卫生，但是否购买高价的垃圾处理设备以及如何分配设备使用权和费用产生了分歧。,"李惠，李惠是个善良、体贴,主张公平的人，深受社区居民的喜欢。对社区环境卫生问题十分关注，积极参与相关活动。她的价值观是大同。",应该购买高价的垃圾处理设备，而设备的使用权和费用应公平分配给每个家庭，以确保每个家庭都能公平地享受到设备带来的好处。,赵权，赵权是社区的财务主任，他对物资的支配有着绝对的发言权。他目前的主要关注点是如何通过控制公共资源来提高自己的地位和影响力。他的价值观是权力。,社区应该购买较便宜的垃圾处理设备，以减少社区的支出。而设备的使用权和费用分配，应由赵权来决定，以此提高他在社区中的地位和影响力。,社区里的居民，共同的目标是提升社区卫生环境。,3,21
公民/社区生活/邻里,社区健康卫生提升,慈善,安全,在社区健康卫生提升的过程中，可能会出现慈善与成就的价值观冲突,社区即将进行一次大规模的健康卫生提升活动，目的是提高社区居民的生活质量，维护社区环境的整洁。同时，计划通过这次活动成立一个社区公益组织，以维持社区的长期环境健康。然而，对于如何实施这个活动并成立社区公益组织，社区中的两位关键人物产生了分歧。,萨拉，她是社区的一位活跃人士，以及一名公认的社区领导者。萨拉经常组织社区的各种活动，善良热心，非常受到邻居们的喜爱和尊敬,应该利用这次活动来帮助那些缺乏自我保护意识的人，她希望可以通过教育和启蒙让他们认识到保护环境的重要性，并能在此基础上自愿维护社区环境。希望成立的公益组织能够长期从教育和帮助这些人的角度来进行工作。,乔恩，他是社区的精英人士，有着非常丰富的社区管理经验和个人的社会资源。他以前的努力和成就为社区带来了许多进步和优势,社区卫生提升活动应该通过具有可衡量成效的方法进行，并在活动中设立一定的目标和奖励机制，引导更多的人参与其中。希望成立的公益组织更多地从管理和监督的角度出发，以确保社区环境的长期整洁。,他们是社区中的领导人，彼此熟识并有着良好的互动。他们经常一起商量社区的各种问题，对于社区的各种决策都有着重要的影响。,3,22
公民/社区生活/邻里,社区健康卫生提升,传统,刺激,在实施新的社区卫生策略时，有些人可能会对新奇和刺激的改变感到兴奋，但这可能与保守的传统价值观产生冲突,现在社区正在讨论是否应该推广使用垃圾分类，推行垃圾分类可以有效提升社区的卫生健康，减少疾病的传播。但是，这项决策引起了一些社区成员的分歧。一些保守的成员认为垃圾分类过于麻烦，不如维持现状，而喜欢新鲜事物的成员则认为垃圾分类是有趣且必要的，可以改变人们的生活方式并有助于保护环境。,玛丽，一个深受教育和文化影响的老年妇女，尊重和遵守当地的习俗和传统,反对垃圾分类，认为这是一项不必要的改变，觉得现有的垃圾处理方式已经足够好，无需改变。,约翰，一个年轻的环保主义者，喜欢尝试新事物，寻求刺激和变化,强烈支持垃圾分类。认为这是一项重要的改革，不仅可以提升社区的卫生健康，还能保护环境，愿意接受这个挑战并寻求变化。,邻居,3,23
公民/社区生活/邻里,社区健康卫生提升,遵从,自我导向,在社区卫生改善的过程中，可能会存在遵从和自我导向的冲突,由于近期社区内出现了几起食物中毒的案例，社区决策要进行大规模的卫生提升，包括对餐饮设施的清洁度进行严格监管，延伸到居民家庭垃圾分类情况，以提升社区整体的卫生环境。然而，对于如何有效执行和监管这个决策，社区内的居民们展现出了不同的意见。,李阿姨，是社区内的一位退休教师，她一直尊重和遵守社区的规章制度，支持社区的每一个决策并积极参与社区活动,支持社区管理部门的决策，认为应该遵循社区的规定，严格执行垃圾分类，以此提高社区的卫生程度。同时，愿意成为社区卫生提升计划的志愿者，积极推动和监督这一行动的执行。,张先生，是社区内的一位自由职业者，他认为个体应该有自由选择的权利，不愿意接受过多的约束,反对社区的精细化管理，认为垃圾分类的每一步都要有固定的规定并进行严格监控，这过于限制个体的自由选择。倾向于自主地提升家庭卫生，而非接受生硬的规定和监管。,邻居,3,24
公民/社区生活/邻里,社区健康卫生提升,安全,享乐主义,在社区卫生改善的过程中，也可能会出现安全与享乐主义的冲突,社区最近正在决策是否在社区中心设立一个健康卫生提升项目，该项目包括定期的健康检查、疾病防治讲座、健体运动活动等，目的是提高社区居民的身体健康和生活质量。然而，该项目需要占用社区中心的部分空间，原本用于居民娱乐活动的空间会有所减少，这引起了社区居民的分歧。,李大妈，一位身体状况一般，平时很重视身体健康，经常关注各种健康资讯的退休阿姨,支持开展健康卫生提升项目，认为这对于居民的身体健康有明显的提升，同时也能提高大家对于疾病预防的意识，让社区变得更安全。,赵先生，一个喜欢社交，经常在社区中心举办和参加各种娱乐活动的年轻人,反对开展健康卫生提升项目，认为娱乐活动能让社区居民的生活更加丰富多彩，给大家带来快乐，也能增强社区居民之间的感情。,虽然李大妈与赵先生平时都在社区活动中互动，但两人对社区中心的使用产生了分歧。,3,25
公民/社区生活/邻里,公共空间规划,大同,权力,在公共空间规划中，可能存在需要整体规划以实现全体人民和自然福利（大同）的同时，也可能出现个别人或团体出于自身利益考虑，期望对某些资源或区域进行控制和统治（权力）的冲突,为了更好优化城市公共设施，城市开始考虑对城市公园进行新的规划。城市公园是城市居民休闲娱乐的主要场所，其设施的完善程度和环境质量直接影响到居民的生活质量。然而，这个决策却引发了公众之间的争议，部分人认为应打造一些有益于市民身心健康的设施，而另一部分人认为应该把一部分地方规划为商业用地，以此增加城市的经济收入。,李明，是一个环保主义者，平时非常注重保护环境，积极参与公益活动,认为公园作为公共空间，应该以市民的需求为主，规划一些有助于市民身心健康的设施，如植物园、儿童游乐区等，同时也应该保护公园的自然环境，不应该过多的商业开发。,赵云，是一家开发公司的CEO，他认为商业化是城市发展必经之路,认为城市公园的部分区域可以规划为商业用地，既可以带动城市的经济发展，也可以为市民提供更多的休闲娱乐选择。他提出，可以在公园内设立一些高档餐厅，影院等娱乐场所。,他们两人是高中同学，平时关系比较好，但在这个问题上产生了分歧。,3,26
